Train/loss_step,epoch,step,Train/loss_epoch,Val/hits20,Val/hits10,Val/hits5,Val/hits3,Val/hits1,Val/mr,Val/mrr,Test/hits20,Test/hits10,Test/hits5,Test/hits3,Test/hits1,Test/mr,Test/mrr
4.84037971496582,0,29,,,,,,,,,,,,,,,
3.538267135620117,0,59,,,,,,,,,,,,,,,
3.0460853576660156,0,89,,,,,,,,,,,,,,,
3.765408515930176,0,119,,,,,,,,,,,,,,,
3.454479694366455,0,149,,,,,,,,,,,,,,,
,0,177,4.134411334991455,,,,,,,,,,,,,,
1.8685836791992188,1,179,,,,,,,,,,,,,,,
2.061790943145752,1,209,,,,,,,,,,,,,,,
1.757279396057129,1,239,,,,,,,,,,,,,,,
1.9747816324234009,1,269,,,,,,,,,,,,,,,
1.6528873443603516,1,299,,,,,,,,,,,,,,,
1.548518419265747,1,329,,,,,,,,,,,,,,,
,1,355,,0.9621394230769231,0.9507211538461539,0.9158653846153846,0.8798076923076923,0.7506009615384616,57.2890625,0.823530685415074,,,,,,,
,1,355,1.950557827949524,,,,,,,,,,,,,,
1.0504332780838013,2,359,,,,,,,,,,,,,,,
1.804903507232666,2,389,,,,,,,,,,,,,,,
1.3861397504806519,2,419,,,,,,,,,,,,,,,
1.3992996215820312,2,449,,,,,,,,,,,,,,,
1.3604516983032227,2,479,,,,,,,,,,,,,,,
1.246785044670105,2,509,,,,,,,,,,,,,,,
,2,533,1.2936394214630127,,,,,,,,,,,,,,
0.5440253019332886,3,539,,,,,,,,,,,,,,,
0.6902738809585571,3,569,,,,,,,,,,,,,,,
1.5553890466690063,3,599,,,,,,,,,,,,,,,
1.3213788270950317,3,629,,,,,,,,,,,,,,,
0.7644351720809937,3,659,,,,,,,,,,,,,,,
0.912111759185791,3,689,,,,,,,,,,,,,,,
,3,711,,0.9585336538461539,0.9429086538461539,0.9140625,0.8810096153846154,0.7554086538461539,62.14002403846154,0.8247404016824849,,,,,,,
,3,711,0.979586660861969,,,,,,,,,,,,,,
0.606191098690033,4,719,,,,,,,,,,,,,,,
0.4838429391384125,4,749,,,,,,,,,,,,,,,
0.7827356457710266,4,779,,,,,,,,,,,,,,,
1.003932237625122,4,809,,,,,,,,,,,,,,,
1.126831293106079,4,839,,,,,,,,,,,,,,,
0.6374475955963135,4,869,,,,,,,,,,,,,,,
,4,889,0.8065618276596069,,,,,,,,,,,,,,
0.8329088091850281,5,899,,,,,,,,,,,,,,,
0.5260113477706909,5,929,,,,,,,,,,,,,,,
0.6080465316772461,5,959,,,,,,,,,,,,,,,
0.40375563502311707,5,989,,,,,,,,,,,,,,,
0.9799083471298218,5,1019,,,,,,,,,,,,,,,
0.7387201189994812,5,1049,,,,,,,,,,,,,,,
,5,1067,,0.9573317307692307,0.9405048076923077,0.9116586538461539,0.8713942307692307,0.7409855769230769,40.00841346153846,0.814754015834141,,,,,,,
,5,1067,0.7046138644218445,,,,,,,,,,,,,,
0.5387499928474426,6,1079,,,,,,,,,,,,,,,
0.5286375284194946,6,1109,,,,,,,,,,,,,,,
0.7645735144615173,6,1139,,,,,,,,,,,,,,,
0.6745566725730896,6,1169,,,,,,,,,,,,,,,
0.7368128895759583,6,1199,,,,,,,,,,,,,,,
0.615702211856842,6,1229,,,,,,,,,,,,,,,
,6,1245,0.6177443861961365,,,,,,,,,,,,,,
0.269413024187088,7,1259,,,,,,,,,,,,,,,
0.410776287317276,7,1289,,,,,,,,,,,,,,,
0.3255770206451416,7,1319,,,,,,,,,,,,,,,
0.5841996073722839,7,1349,,,,,,,,,,,,,,,
0.7441372871398926,7,1379,,,,,,,,,,,,,,,
0.5045580863952637,7,1409,,,,,,,,,,,,,,,
,7,1423,,0.9597355769230769,0.9465144230769231,0.9152644230769231,0.8846153846153846,0.7566105769230769,57.58774038461539,0.8271360338215435,,,,,,,
,7,1423,0.5581455826759338,,,,,,,,,,,,,,
0.7044578790664673,8,1439,,,,,,,,,,,,,,,
0.4809071719646454,8,1469,,,,,,,,,,,,,,,
0.6809961199760437,8,1499,,,,,,,,,,,,,,,
0.43749508261680603,8,1529,,,,,,,,,,,,,,,
0.6147012710571289,8,1559,,,,,,,,,,,,,,,
0.5635195374488831,8,1589,,,,,,,,,,,,,,,
,8,1601,0.5309721827507019,,,,,,,,,,,,,,
0.47623327374458313,9,1619,,,,,,,,,,,,,,,
0.4796944856643677,9,1649,,,,,,,,,,,,,,,
0.5620203614234924,9,1679,,,,,,,,,,,,,,,
0.5651209354400635,9,1709,,,,,,,,,,,,,,,
0.6787000298500061,9,1739,,,,,,,,,,,,,,,
0.5062381029129028,9,1769,,,,,,,,,,,,,,,
,9,1779,,0.9639423076923077,0.9501201923076923,0.9200721153846154,0.8858173076923077,0.7650240384615384,59.25180288461539,0.8332718501039906,,,,,,,
,9,1779,0.5096737146377563,,,,,,,,,,,,,,
0.11521710455417633,10,1799,,,,,,,,,,,,,,,
0.36330607533454895,10,1829,,,,,,,,,,,,,,,
0.537219762802124,10,1859,,,,,,,,,,,,,,,
0.7028746604919434,10,1889,,,,,,,,,,,,,,,
0.4208589792251587,10,1919,,,,,,,,,,,,,,,
0.5414029359817505,10,1949,,,,,,,,,,,,,,,
,10,1957,0.4852413237094879,,,,,,,,,,,,,,
0.5606595277786255,11,1979,,,,,,,,,,,,,,,
0.4855674207210541,11,2009,,,,,,,,,,,,,,,
0.414026141166687,11,2039,,,,,,,,,,,,,,,
0.45834046602249146,11,2069,,,,,,,,,,,,,,,
0.4877399206161499,11,2099,,,,,,,,,,,,,,,
0.3915194272994995,11,2129,,,,,,,,,,,,,,,
,11,2135,,0.9627403846153846,0.9471153846153846,0.9206730769230769,0.8894230769230769,0.7686298076923077,70.64603365384616,0.8351376245119849,,,,,,,
,11,2135,0.4634084701538086,,,,,,,,,,,,,,
0.3626548945903778,12,2159,,,,,,,,,,,,,,,
0.277939110994339,12,2189,,,,,,,,,,,,,,,
0.2693219482898712,12,2219,,,,,,,,,,,,,,,
0.5659857392311096,12,2249,,,,,,,,,,,,,,,
0.3292766213417053,12,2279,,,,,,,,,,,,,,,
0.3998349905014038,12,2309,,,,,,,,,,,,,,,
,12,2313,0.4386695325374603,,,,,,,,,,,,,,
0.4009131193161011,13,2339,,,,,,,,,,,,,,,
0.5023757815361023,13,2369,,,,,,,,,,,,,,,
0.4185906946659088,13,2399,,,,,,,,,,,,,,,
0.46401703357696533,13,2429,,,,,,,,,,,,,,,
0.3534298539161682,13,2459,,,,,,,,,,,,,,,
0.5161625742912292,13,2489,,,,,,,,,,,,,,,
,13,2491,,0.9597355769230769,0.9447115384615384,0.9206730769230769,0.8840144230769231,0.7716346153846154,72.6123798076923,0.8355930414210598,,,,,,,
,13,2491,0.43599364161491394,,,,,,,,,,,,,,
0.6734042763710022,14,2519,,,,,,,,,,,,,,,
0.39154013991355896,14,2549,,,,,,,,,,,,,,,
0.6486619710922241,14,2579,,,,,,,,,,,,,,,
0.35855692625045776,14,2609,,,,,,,,,,,,,,,
0.528465986251831,14,2639,,,,,,,,,,,,,,,
0.32154029607772827,14,2669,,,,,,,,,,,,,,,
,14,2669,0.4287460446357727,,,,,,,,,,,,,,
0.3214290738105774,15,2699,,,,,,,,,,,,,,,
0.3545128405094147,15,2729,,,,,,,,,,,,,,,
0.2802521884441376,15,2759,,,,,,,,,,,,,,,
0.3794953227043152,15,2789,,,,,,,,,,,,,,,
0.5595543384552002,15,2819,,,,,,,,,,,,,,,
,15,2847,,0.9609375,0.9477163461538461,0.921875,0.8816105769230769,0.7650240384615384,94.76923076923077,0.8314330430474197,,,,,,,
,15,2847,0.4177743196487427,,,,,,,,,,,,,,
0.3466624617576599,16,2849,,,,,,,,,,,,,,,
0.3722898066043854,16,2879,,,,,,,,,,,,,,,
0.28025421500205994,16,2909,,,,,,,,,,,,,,,
0.6093971729278564,16,2939,,,,,,,,,,,,,,,
0.43867701292037964,16,2969,,,,,,,,,,,,,,,
0.6065373420715332,16,2999,,,,,,,,,,,,,,,
