Train/loss_step,epoch,step,Train/loss_epoch,Val/hits20,Val/hits10,Val/hits5,Val/hits3,Val/hits1,Val/mr,Val/mrr,Test/hits20,Test/hits10,Test/hits5,Test/hits3,Test/hits1,Test/mr,Test/mrr
3.3353347778320312,0,29,,,,,,,,,,,,,,,
2.3880763053894043,0,59,,,,,,,,,,,,,,,
2.6931650638580322,0,89,,,,,,,,,,,,,,,
2.63626766204834,0,119,,,,,,,,,,,,,,,
,0,140,3.7441279888153076,,,,,,,,,,,,,,
1.5377358198165894,1,149,,,,,,,,,,,,,,,
2.3332996368408203,1,179,,,,,,,,,,,,,,,
1.981079339981079,1,209,,,,,,,,,,,,,,,
2.3831021785736084,1,239,,,,,,,,,,,,,,,
1.7745004892349243,1,269,,,,,,,,,,,,,,,
,1,281,,0.9895551257253384,0.9833655705996132,0.9694390715667311,0.9574468085106383,0.8847195357833656,5.552030947775629,0.9234892661677863,,,,,,,
,1,281,1.7229708433151245,,,,,,,,,,,,,,
1.1280409097671509,2,299,,,,,,,,,,,,,,,
1.3156627416610718,2,329,,,,,,,,,,,,,,,
1.3038280010223389,2,359,,,,,,,,,,,,,,,
1.3164151906967163,2,389,,,,,,,,,,,,,,,
1.1050740480422974,2,419,,,,,,,,,,,,,,,
,2,422,1.1538969278335571,,,,,,,,,,,,,,
0.6346620321273804,3,449,,,,,,,,,,,,,,,
0.6780540943145752,3,479,,,,,,,,,,,,,,,
1.1248329877853394,3,509,,,,,,,,,,,,,,,
0.7230173945426941,3,539,,,,,,,,,,,,,,,
,3,563,,0.9895551257253384,0.983752417794971,0.9748549323017408,0.9640232108317215,0.9048355899419729,14.388394584139265,0.9362561364886511,,,,,,,
,3,563,0.7610994577407837,,,,,,,,,,,,,,
0.2914799451828003,4,569,,,,,,,,,,,,,,,
0.5231682658195496,4,599,,,,,,,,,,,,,,,
0.7455384731292725,4,629,,,,,,,,,,,,,,,
0.39268699288368225,4,659,,,,,,,,,,,,,,,
0.6322767734527588,4,689,,,,,,,,,,,,,,,
,4,704,0.5670725703239441,,,,,,,,,,,,,,
0.4802212715148926,5,719,,,,,,,,,,,,,,,
0.5565215945243835,5,749,,,,,,,,,,,,,,,
0.6840907335281372,5,779,,,,,,,,,,,,,,,
0.8221520185470581,5,809,,,,,,,,,,,,,,,
0.3502206802368164,5,839,,,,,,,,,,,,,,,
,5,845,,0.9876208897485493,0.983752417794971,0.9736943907156673,0.9601547388781432,0.8994197292069632,9.398452611218568,0.9323458605910073,,,,,,,
,5,845,0.42238563299179077,,,,,,,,,,,,,,
0.2348935455083847,6,869,,,,,,,,,,,,,,,
0.3827902376651764,6,899,,,,,,,,,,,,,,,
0.3645622134208679,6,929,,,,,,,,,,,,,,,
0.49523821473121643,6,959,,,,,,,,,,,,,,,
,6,986,0.35651347041130066,,,,,,,,,,,,,,
0.5240678191184998,7,989,,,,,,,,,,,,,,,
0.18260236084461212,7,1019,,,,,,,,,,,,,,,
0.3336723744869232,7,1049,,,,,,,,,,,,,,,
0.15872548520565033,7,1079,,,,,,,,,,,,,,,
0.22232067584991455,7,1109,,,,,,,,,,,,,,,
,7,1127,,0.9880077369439072,0.9825918762088974,0.9733075435203095,0.9617021276595744,0.8974854932301741,6.5570599613152805,0.9306810901637863,,,,,,,
,7,1127,0.29469987750053406,,,,,,,,,,,,,,
0.21805663406848907,8,1139,,,,,,,,,,,,,,,
0.231448695063591,8,1169,,,,,,,,,,,,,,,
0.4403012692928314,8,1199,,,,,,,,,,,,,,,
0.14085173606872559,8,1229,,,,,,,,,,,,,,,
0.2989102303981781,8,1259,,,,,,,,,,,,,,,
,8,1268,0.2543696165084839,,,,,,,,,,,,,,
0.1635187864303589,9,1289,,,,,,,,,,,,,,,
0.0805240049958229,9,1319,,,,,,,,,,,,,,,
0.1721571534872055,9,1349,,,,,,,,,,,,,,,
0.1962692141532898,9,1379,,,,,,,,,,,,,,,
0.2178889960050583,9,1409,,,,,,,,,,,,,,,
,9,1409,,0.9868471953578336,0.9822050290135397,0.9694390715667311,0.9566731141199226,0.8897485493230174,24.59651837524178,0.9259348008001038,,,,,,,
,9,1409,0.2490774393081665,,,,,,,,,,,,,,
,3,1410,,,,,,,,,0.9883923389437028,0.9820081253627394,0.9729154575353066,0.9622751015670342,0.9067517895144128,23.949700135422713,0.9371186828081659
