Train/loss_step,epoch,step,Train/loss_epoch,Val/hits20,Val/hits10,Val/hits5,Val/hits3,Val/hits1,Val/mr,Val/mrr,Test/hits20,Test/hits10,Test/hits5,Test/hits3,Test/hits1,Test/mr,Test/mrr
3.5695221424102783,0,29,,,,,,,,,,,,,,,
2.4394776821136475,0,59,,,,,,,,,,,,,,,
2.6365857124328613,0,89,,,,,,,,,,,,,,,
2.2623977661132812,0,119,,,,,,,,,,,,,,,
2.3415207862854004,0,149,,,,,,,,,,,,,,,
3.3357207775115967,0,179,,,,,,,,,,,,,,,
,0,194,3.3138186931610107,,,,,,,,,,,,,,
1.262547492980957,1,209,,,,,,,,,,,,,,,
1.6246917247772217,1,239,,,,,,,,,,,,,,,
1.9595434665679932,1,269,,,,,,,,,,,,,,,
1.8548580408096313,1,299,,,,,,,,,,,,,,,
1.3684592247009277,1,329,,,,,,,,,,,,,,,
1.6773899793624878,1,359,,,,,,,,,,,,,,,
1.125400185585022,1,389,,,,,,,,,,,,,,,
,1,389,,0.9769662921348314,0.9623595505617978,0.9455056179775281,0.9241573033707865,0.8421348314606741,12.73932584269663,0.8883518862098746,,,,,,,
,1,389,1.5254026651382446,,,,,,,,,,,,,,
1.085422158241272,2,419,,,,,,,,,,,,,,,
0.8482145667076111,2,449,,,,,,,,,,,,,,,
0.9715962409973145,2,479,,,,,,,,,,,,,,,
1.060325026512146,2,509,,,,,,,,,,,,,,,
0.8366929888725281,2,539,,,,,,,,,,,,,,,
1.0703297853469849,2,569,,,,,,,,,,,,,,,
,2,584,0.8876565098762512,,,,,,,,,,,,,,
0.8834683895111084,3,599,,,,,,,,,,,,,,,
0.7409777045249939,3,629,,,,,,,,,,,,,,,
0.45087629556655884,3,659,,,,,,,,,,,,,,,
0.6872883439064026,3,689,,,,,,,,,,,,,,,
0.6773937940597534,3,719,,,,,,,,,,,,,,,
0.7354875206947327,3,749,,,,,,,,,,,,,,,
0.5324193835258484,3,779,,,,,,,,,,,,,,,
,3,779,,0.9764044943820225,0.9646067415730337,0.9471910112359551,0.9258426966292135,0.8196629213483146,17.37752808988764,0.8764139232848267,,,,,,,
,3,779,0.6284462809562683,,,,,,,,,,,,,,
0.7641319036483765,4,809,,,,,,,,,,,,,,,
0.4150790572166443,4,839,,,,,,,,,,,,,,,
0.3112671673297882,4,869,,,,,,,,,,,,,,,
0.9661657810211182,4,899,,,,,,,,,,,,,,,
0.3728906810283661,4,929,,,,,,,,,,,,,,,
0.41173312067985535,4,959,,,,,,,,,,,,,,,
,4,974,0.5221308469772339,,,,,,,,,,,,,,
0.38742896914482117,5,989,,,,,,,,,,,,,,,
1.006752371788025,5,1019,,,,,,,,,,,,,,,
0.3604888319969177,5,1049,,,,,,,,,,,,,,,
0.5891515612602234,5,1079,,,,,,,,,,,,,,,
0.5551523566246033,5,1109,,,,,,,,,,,,,,,
0.3627839684486389,5,1139,,,,,,,,,,,,,,,
0.4296036958694458,5,1169,,,,,,,,,,,,,,,
,5,1169,,0.9764044943820225,0.9651685393258427,0.9471910112359551,0.9241573033707865,0.8202247191011236,25.660112359550563,0.8776129427433849,,,,,,,
,5,1169,0.48796144127845764,,,,,,,,,,,,,,
0.36461395025253296,6,1199,,,,,,,,,,,,,,,
0.545610249042511,6,1229,,,,,,,,,,,,,,,
0.6374395489692688,6,1259,,,,,,,,,,,,,,,
0.7412165999412537,6,1289,,,,,,,,,,,,,,,
0.20054785907268524,6,1319,,,,,,,,,,,,,,,
0.699482262134552,6,1349,,,,,,,,,,,,,,,
,6,1364,0.452632874250412,,,,,,,,,,,,,,
0.5747302770614624,7,1379,,,,,,,,,,,,,,,
0.3763927221298218,7,1409,,,,,,,,,,,,,,,
0.4208664894104004,7,1439,,,,,,,,,,,,,,,
0.43769705295562744,7,1469,,,,,,,,,,,,,,,
0.5250474810600281,7,1499,,,,,,,,,,,,,,,
0.5210544466972351,7,1529,,,,,,,,,,,,,,,
0.51973557472229,7,1559,,,,,,,,,,,,,,,
,7,1559,,0.9769662921348314,0.9629213483146067,0.9426966292134832,0.9168539325842696,0.8202247191011236,39.01067415730337,0.8746489063521466,,,,,,,
,7,1559,0.4550202190876007,,,,,,,,,,,,,,
,1,1560,,,,,,,,,0.9820325659741718,0.9677147669848399,0.952835485682201,0.9317798989331836,0.8492419988770353,21.512914093206064,0.8955216131668
